dateid,day,month,year
4562,13,9,2024
3414,5,9,2020
3937,13,9,2024
5288,13,9,2024
1738,5,9,2020
4584,13,9,2024
1748,5,9,2020
381,5,9,2020
3512,5,9,2020
3890,5,9,2020
3758,5,9,2020
1784,5,9,2020
3690,5,9,2020
2309,5,9,2020
3253,5,9,2020
2312,5,9,2020
4794,13,9,2024
3379,5,9,2020
1412,5,9,2020
2234,5,9,2020
6072,13,9,2024
5686,13,9,2024
4269,13,9,2024
2346,5,9,2020
6390,13,9,2024
7563,13,9,2024
3318,5,9,2020
1484,5,9,2020
147,5,9,2020
1116,5,9,2020
5149,13,9,2024
2571,5,9,2020
3913,13,9,2024
5714,13,9,2024
644,5,9,2020
6808,13,9,2024
6632,13,9,2024
1410,5,9,2020
6062,13,9,2024
429,5,9,2020
553,5,9,2020
2556,5,9,2020
1515,5,9,2020
7261,13,9,2024
6340,13,9,2024
3340,5,9,2020
2716,5,9,2020
4173,13,9,2024
2831,5,9,2020
6954,13,9,2024
6858,13,9,2024
6311,13,9,2024
6708,13,9,2024
3659,5,9,2020
6250,13,9,2024
4169,13,9,2024
7715,13,9,2024
2124,5,9,2020
254,5,9,2020
7743,13,9,2024
6910,13,9,2024
1514,5,9,2020
7007,13,9,2024
3274,5,9,2020
680,5,9,2020
4403,13,9,2024
4606,13,9,2024
5425,13,9,2024
1820,5,9,2020
6536,13,9,2024
945,5,9,2020
4881,13,9,2024
1417,5,9,2020
2259,5,9,2020
1009,5,9,2020
5913,13,9,2024
4450,13,9,2024
3110,5,9,2020
1282,5,9,2020
5662,13,9,2024
4430,13,9,2024
6837,13,9,2024
6859,13,9,2024
389,5,9,2020
2426,5,9,2020
7045,13,9,2024
2814,5,9,2020
923,5,9,2020
6955,13,9,2024
3049,5,9,2020
6601,13,9,2024
3255,5,9,2020
6489,13,9,2024
2177,5,9,2020
6320,13,9,2024
1103,5,9,2020
6043,13,9,2024
7651,13,9,2024
6863,13,9,2024
4561,13,9,2024
1743,5,9,2020
4848,13,9,2024
1691,5,9,2020
5470,13,9,2024
4258,13,9,2024
641,5,9,2020
937,5,9,2020
4588,13,9,2024
950,5,9,2020
6563,13,9,2024
7652,13,9,2024
1756,5,9,2020
7451,13,9,2024
7410,13,9,2024
4026,13,9,2024
7721,13,9,2024
3508,5,9,2020
3650,5,9,2020
7086,13,9,2024
1008,5,9,2020
5219,13,9,2024
1625,5,9,2020
2317,5,9,2020
6633,13,9,2024
2981,5,9,2020
615,5,9,2020
7102,13,9,2024
5254,13,9,2024
4255,13,9,2024
2033,5,9,2020
5665,13,9,2024
4707,13,9,2024
6216,13,9,2024
571,5,9,2020
3699,5,9,2020
6277,13,9,2024
1533,5,9,2020
5652,13,9,2024
6478,13,9,2024
5786,13,9,2024
3916,13,9,2024
6723,13,9,2024
7203,13,9,2024
1666,5,9,2020
6428,13,9,2024
6205,13,9,2024
573,5,9,2020
2917,5,9,2020
4658,13,9,2024
6594,13,9,2024
6324,13,9,2024
5754,13,9,2024
6983,13,9,2024
1195,5,9,2020
5334,13,9,2024
4187,13,9,2024
344,5,9,2020
5247,13,9,2024
7673,13,9,2024
2672,5,9,2020
5654,13,9,2024
3740,5,9,2020
1677,5,9,2020
5237,13,9,2024
6806,13,9,2024
2528,5,9,2020
1754,5,9,2020
5639,13,9,2024
3505,5,9,2020
610,5,9,2020
3423,5,9,2020
2849,5,9,2020
2399,5,9,2020
2978,5,9,2020
6387,13,9,2024
7331,13,9,2024
6267,13,9,2024
4795,13,9,2024
2158,5,9,2020
2891,5,9,2020
3477,5,9,2020
2439,5,9,2020
7631,13,9,2024
628,5,9,2020
4623,13,9,2024
2071,5,9,2020
4602,13,9,2024
5423,13,9,2024
3205,5,9,2020
7463,13,9,2024
1480,5,9,2020
6522,13,9,2024
2818,5,9,2020
1733,5,9,2020
5315,13,9,2024
3386,5,9,2020
2113,5,9,2020
96,5,9,2020
2628,5,9,2020
5055,13,9,2024
6946,13,9,2024
5363,13,9,2024
6554,13,9,2024
1708,5,9,2020
4162,13,9,2024
3795,5,9,2020
3846,5,9,2020
4537,13,9,2024
3963,13,9,2024
1442,5,9,2020
3965,13,9,2024
7771,13,9,2024
3417,5,9,2020
3315,5,9,2020
1398,5,9,2020
6268,13,9,2024
1048,5,9,2020
2363,5,9,2020
5478,13,9,2024
3744,5,9,2020
7034,13,9,2024
2391,5,9,2020
4189,13,9,2024
2579,5,9,2020
1307,5,9,2020
4921,13,9,2024
6123,13,9,2024
5427,13,9,2024
1525,5,9,2020
3715,5,9,2020
2603,5,9,2020
1320,5,9,2020
4578,13,9,2024
4541,13,9,2024
4217,13,9,2024
32,5,9,2020
4250,13,9,2024
1236,5,9,2020
7434,13,9,2024
7178,13,9,2024
6868,13,9,2024
4056,13,9,2024
3514,5,9,2020
3232,5,9,2020
819,5,9,2020
1150,5,9,2020
3392,5,9,2020
1830,5,9,2020
302,5,9,2020
7637,13,9,2024
6362,13,9,2024
7439,13,9,2024
4771,13,9,2024
562,5,9,2020
2418,5,9,2020
575,5,9,2020
7774,13,9,2024
5733,13,9,2024
1172,5,9,2020
3002,5,9,2020
6713,13,9,2024
1318,5,9,2020
799,5,9,2020
1019,5,9,2020
4538,13,9,2024
3771,5,9,2020
6162,13,9,2024
5694,13,9,2024
3990,13,9,2024
1478,5,9,2020
7242,13,9,2024
7197,13,9,2024
3978,13,9,2024
4729,13,9,2024
4420,13,9,2024
5507,13,9,2024
7336,13,9,2024
988,5,9,2020
1477,5,9,2020
3886,5,9,2020
3573,5,9,2020
7106,13,9,2024
6077,13,9,2024
7519,13,9,2024
6412,13,9,2024
6981,13,9,2024
7593,13,9,2024
3488,5,9,2020
5190,13,9,2024
5154,13,9,2024
4936,13,9,2024
1029,5,9,2020
4359,13,9,2024
1027,5,9,2020
1732,5,9,2020
6683,13,9,2024
6131,13,9,2024
7117,13,9,2024
6819,13,9,2024
488,5,9,2020
3733,5,9,2020
7445,13,9,2024
4721,13,9,2024
5735,13,9,2024
3106,5,9,2020
6331,13,9,2024
4413,13,9,2024
3974,13,9,2024
621,5,9,2020
5658,13,9,2024
5166,13,9,2024
3190,5,9,2020
679,5,9,2020
7622,13,9,2024
3606,5,9,2020
3849,5,9,2020
4281,13,9,2024
2105,5,9,2020
1486,5,9,2020
4673,13,9,2024
2522,5,9,2020
6028,13,9,2024
5952,13,9,2024
168,5,9,2020
6902,13,9,2024
4175,13,9,2024
1176,5,9,2020
3622,5,9,2020
7323,13,9,2024
1331,5,9,2020
5042,13,9,2024
4416,13,9,2024
1853,5,9,2020
4230,13,9,2024
2530,5,9,2020
6130,13,9,2024
977,5,9,2020
1878,5,9,2020
713,5,9,2020
7605,13,9,2024
7571,13,9,2024
2415,5,9,2020
6714,13,9,2024
4138,13,9,2024
1516,5,9,2020
7497,13,9,2024
6938,13,9,2024
2501,5,9,2020
6745,13,9,2024
1242,5,9,2020
2076,5,9,2020
5890,13,9,2024
1926,5,9,2020
4391,13,9,2024
4343,13,9,2024
1015,5,9,2020
7067,13,9,2024
7776,13,9,2024
6040,13,9,2024
5804,13,9,2024
5256,13,9,2024
3705,5,9,2020
3813,5,9,2020
1909,5,9,2020
1021,5,9,2020
7479,13,9,2024
6484,13,9,2024
1686,5,9,2020
1134,5,9,2020
7573,13,9,2024
2923,5,9,2020
2853,5,9,2020
4813,13,9,2024
2896,5,9,2020
463,5,9,2020
917,5,9,2020
7430,13,9,2024
4202,13,9,2024
449,5,9,2020
4717,13,9,2024
4599,13,9,2024
3723,5,9,2020
3225,5,9,2020
6349,13,9,2024
2114,5,9,2020
2862,5,9,2020
3877,5,9,2020
5419,13,9,2024
5892,13,9,2024
2838,5,9,2020
5365,13,9,2024
5960,13,9,2024
6434,13,9,2024
1560,5,9,2020
722,5,9,2020
4149,13,9,2024
4953,13,9,2024
7110,13,9,2024
3992,13,9,2024
3331,5,9,2020
3216,5,9,2020
3194,5,9,2020
6575,13,9,2024
4353,13,9,2024
2769,5,9,2020
2087,5,9,2020
1316,5,9,2020
6624,13,9,2024
2671,5,9,2020
7355,13,9,2024
5807,13,9,2024
744,5,9,2020
5559,13,9,2024
3089,5,9,2020
7580,13,9,2024
6137,13,9,2024
5163,13,9,2024
4478,13,9,2024
7570,13,9,2024
6821,13,9,2024
4999,13,9,2024
5997,13,9,2024
3472,5,9,2020
5317,13,9,2024
3706,5,9,2020
403,5,9,2020
755,5,9,2020
756,5,9,2020
6378,13,9,2024
7542,13,9,2024
2492,5,9,2020
5549,13,9,2024
3493,5,9,2020
5619,13,9,2024
647,5,9,2020
284,5,9,2020
4344,13,9,2024
5548,13,9,2024
4234,13,9,2024
2570,5,9,2020
2946,5,9,2020
5914,13,9,2024
3793,5,9,2020
2246,5,9,2020
7312,13,9,2024
6516,13,9,2024
3906,13,9,2024
906,5,9,2020
5404,13,9,2024
6439,13,9,2024
1790,5,9,2020
3412,5,9,2020
2510,5,9,2020
481,5,9,2020
4082,13,9,2024
3483,5,9,2020
5642,13,9,2024
7415,13,9,2024
6993,13,9,2024
1744,5,9,2020
4738,13,9,2024
710,5,9,2020
4666,13,9,2024
3608,5,9,2020
2521,5,9,2020
6374,13,9,2024
6327,13,9,2024
5244,13,9,2024
904,5,9,2020
4459,13,9,2024
175,5,9,2020
813,5,9,2020
7444,13,9,2024
6160,13,9,2024
7059,13,9,2024
1541,5,9,2020
6915,13,9,2024
2914,5,9,2020
1700,5,9,2020
7230,13,9,2024
5579,13,9,2024
956,5,9,2020
5354,13,9,2024
2462,5,9,2020
5637,13,9,2024
1120,5,9,2020
7156,13,9,2024
985,5,9,2020
3887,5,9,2020
2984,5,9,2020
3377,5,9,2020
2376,5,9,2020
7513,13,9,2024
6157,13,9,2024
6977,13,9,2024
5211,13,9,2024
4635,13,9,2024
1315,5,9,2020
907,5,9,2020
7107,13,9,2024
1197,5,9,2020
1605,5,9,2020
2759,5,9,2020
2263,5,9,2020
2407,5,9,2020
3942,13,9,2024
3854,5,9,2020
5006,13,9,2024
2282,5,9,2020
4747,13,9,2024
955,5,9,2020
7784,13,9,2024
7692,13,9,2024
4132,13,9,2024
6466,13,9,2024
5870,13,9,2024
5774,13,9,2024
84,5,9,2020
2068,5,9,2020
5594,13,9,2024
2494,5,9,2020
1715,5,9,2020
3497,5,9,2020
4716,13,9,2024
4309,13,9,2024
2712,5,9,2020
7246,13,9,2024
4425,13,9,2024
5528,13,9,2024
2497,5,9,2020
1714,5,9,2020
6884,13,9,2024
1503,5,9,2020
6512,13,9,2024
5977,13,9,2024
3683,5,9,2020
1799,5,9,2020
6206,13,9,2024
1153,5,9,2020
3855,5,9,2020
2151,5,9,2020
472,5,9,2020
4471,13,9,2024
6872,13,9,2024
1052,5,9,2020
5454,13,9,2024
4613,13,9,2024
656,5,9,2020
2916,5,9,2020
6165,13,9,2024
973,5,9,2020
7635,13,9,2024
4782,13,9,2024
4533,13,9,2024
1379,5,9,2020
554,5,9,2020
4429,13,9,2024
2475,5,9,2020
16,5,9,2020
7640,13,9,2024
7610,13,9,2024
64,5,9,2020
2742,5,9,2020
28,5,9,2020
2245,5,9,2020
7006,13,9,2024
5986,13,9,2024
490,5,9,2020
2717,5,9,2020
1877,5,9,2020
3977,13,9,2024
3132,5,9,2020
1476,5,9,2020
1322,5,9,2020
4453,13,9,2024
6576,13,9,2024
4392,13,9,2024
6933,13,9,2024
7092,13,9,2024
119,5,9,2020
5377,13,9,2024
4371,13,9,2024
5359,13,9,2024
6677,13,9,2024
332,5,9,2020
850,5,9,2020
3711,5,9,2020
1545,5,9,2020
701,5,9,2020
6942,13,9,2024
5943,13,9,2024
337,5,9,2020
7083,13,9,2024
7024,13,9,2024
2021,5,9,2020
2885,5,9,2020
517,5,9,2020
6895,13,9,2024
4047,13,9,2024
2140,5,9,2020
5179,13,9,2024
3657,5,9,2020
460,5,9,2020
4395,13,9,2024
3382,5,9,2020
3327,5,9,2020
5464,13,9,2024
4278,13,9,2024
574,5,9,2020
366,5,9,2020
3658,5,9,2020
2431,5,9,2020
1422,5,9,2020
5529,13,9,2024
1612,5,9,2020
4573,13,9,2024
4805,13,9,2024
4863,13,9,2024
6864,13,9,2024
7773,13,9,2024
1393,5,9,2020
3993,13,9,2024
5915,13,9,2024
7670,13,9,2024
2513,5,9,2020
5267,13,9,2024
3892,5,9,2020
5499,13,9,2024
2018,5,9,2020
6809,13,9,2024
1924,5,9,2020
5929,13,9,2024
7718,13,9,2024
6309,13,9,2024
3922,13,9,2024
6890,13,9,2024
5545,13,9,2024
4372,13,9,2024
2320,5,9,2020
2817,5,9,2020
5511,13,9,2024
5568,13,9,2024
2539,5,9,2020
6965,13,9,2024
3812,5,9,2020
5101,13,9,2024
3250,5,9,2020
2281,5,9,2020
6664,13,9,2024
1702,5,9,2020
2004,5,9,2020
2718,5,9,2020
6774,13,9,2024
5544,13,9,2024
7053,13,9,2024
3469,5,9,2020
7506,13,9,2024
140,5,9,2020
4877,13,9,2024
6921,13,9,2024
3271,5,9,2020
4511,13,9,2024
3597,5,9,2020
2051,5,9,2020
5139,13,9,2024
2611,5,9,2020
360,5,9,2020
1716,5,9,2020
1381,5,9,2020
6820,13,9,2024
97,5,9,2020
127,5,9,2020
938,5,9,2020
4354,13,9,2024
6586,13,9,2024
7135,13,9,2024
6488,13,9,2024
6980,13,9,2024
6988,13,9,2024
3579,5,9,2020
7348,13,9,2024
990,5,9,2020
711,5,9,2020
30,5,9,2020
6740,13,9,2024
4158,13,9,2024
6438,13,9,2024
2052,5,9,2020
4181,13,9,2024
2251,5,9,2020
3880,5,9,2020
4092,13,9,2024
1231,5,9,2020
2997,5,9,2020
4826,13,9,2024
7120,13,9,2024
409,5,9,2020
857,5,9,2020
2772,5,9,2020
5241,13,9,2024
6213,13,9,2024
7044,13,9,2024
6178,13,9,2024
6687,13,9,2024
2293,5,9,2020
4095,13,9,2024
1344,5,9,2020
1907,5,9,2020
3578,5,9,2020
4586,13,9,2024
6579,13,9,2024
7041,13,9,2024
3613,5,9,2020
365,5,9,2020
7358,13,9,2024
2600,5,9,2020
5810,13,9,2024
4714,13,9,2024
7094,13,9,2024
226,5,9,2020
7545,13,9,2024
6818,13,9,2024
2889,5,9,2020
795,5,9,2020
6085,13,9,2024
4501,13,9,2024
7316,13,9,2024
261,5,9,2020
1763,5,9,2020
2796,5,9,2020
7014,13,9,2024
6018,13,9,2024
6086,13,9,2024
4841,13,9,2024
303,5,9,2020
7555,13,9,2024
229,5,9,2020
7098,13,9,2024
1775,5,9,2020
548,5,9,2020
4464,13,9,2024
5773,13,9,2024
2515,5,9,2020
442,5,9,2020
3518,5,9,2020
1407,5,9,2020
6321,13,9,2024
6260,13,9,2024
843,5,9,2020
7143,13,9,2024
5856,13,9,2024
963,5,9,2020
6003,13,9,2024
3693,5,9,2020
1879,5,9,2020
1980,5,9,2020
1809,5,9,2020
6365,13,9,2024
4895,13,9,2024
4874,13,9,2024
6771,13,9,2024
1597,5,9,2020
5554,13,9,2024
4748,13,9,2024
2650,5,9,2020
4237,13,9,2024
4988,13,9,2024
4048,13,9,2024
323,5,9,2020
6712,13,9,2024
2077,5,9,2020
749,5,9,2020
528,5,9,2020
7384,13,9,2024
125,5,9,2020
7683,13,9,2024
1004,5,9,2020
3107,5,9,2020
1454,5,9,2020
468,5,9,2020
3088,5,9,2020
3646,5,9,2020
5546,13,9,2024
326,5,9,2020
3168,5,9,2020
114,5,9,2020
4997,13,9,2024
42,5,9,2020
1227,5,9,2020
7223,13,9,2024
2770,5,9,2020
4458,13,9,2024
593,5,9,2020
7475,13,9,2024
4100,13,9,2024
260,5,9,2020
7017,13,9,2024
6493,13,9,2024
7327,13,9,2024
5816,13,9,2024
5731,13,9,2024
4697,13,9,2024
7487,13,9,2024
3551,5,9,2020
2589,5,9,2020
774,5,9,2020
4089,13,9,2024
2998,5,9,2020
6995,13,9,2024
6621,13,9,2024
2254,5,9,2020
1093,5,9,2020
867,5,9,2020
6259,13,9,2024
1024,5,9,2020
2471,5,9,2020
6524,13,9,2024
5973,13,9,2024
2641,5,9,2020
1521,5,9,2020
539,5,9,2020
3531,5,9,2020
855,5,9,2020
7248,13,9,2024
6291,13,9,2024
6556,13,9,2024
1857,5,9,2020
495,5,9,2020
3753,5,9,2020
6411,13,9,2024
6196,13,9,2024
5099,13,9,2024
5911,13,9,2024
5253,13,9,2024
4288,13,9,2024
6867,13,9,2024
7438,13,9,2024
7191,13,9,2024
6637,13,9,2024
5766,13,9,2024
6068,13,9,2024
3242,5,9,2020
7268,13,9,2024
4597,13,9,2024
5409,13,9,2024
5382,13,9,2024
4548,13,9,2024
788,5,9,2020
1788,5,9,2020
40,5,9,2020
6483,13,9,2024
2542,5,9,2020
1288,5,9,2020
6932,13,9,2024
5884,13,9,2024
1368,5,9,2020
4497,13,9,2024
1127,5,9,2020
3649,5,9,2020
2323,5,9,2020
6290,13,9,2024
4851,13,9,2024
4414,13,9,2024
1986,5,9,2020
4438,13,9,2024
6039,13,9,2024
3314,5,9,2020
4614,13,9,2024
2359,5,9,2020
7344,13,9,2024
4596,13,9,2024
4513,13,9,2024
5233,13,9,2024
3661,5,9,2020
987,5,9,2020
3502,5,9,2020
7262,13,9,2024
2558,5,9,2020
596,5,9,2020
6764,13,9,2024
1680,5,9,2020
257,5,9,2020
6351,13,9,2024
3522,5,9,2020
1871,5,9,2020
7669,13,9,2024
5273,13,9,2024
3997,13,9,2024
2011,5,9,2020
4398,13,9,2024
4228,13,9,2024
5749,13,9,2024
2690,5,9,2020
7806,13,9,2024
2207,5,9,2020
4235,13,9,2024
5090,13,9,2024
6566,13,9,2024
2616,5,9,2020
6968,13,9,2024
1023,5,9,2020
4115,13,9,2024
2647,5,9,2020
3939,13,9,2024
3196,5,9,2020
1095,5,9,2020
2202,5,9,2020
5874,13,9,2024
2198,5,9,2020
124,5,9,2020
1498,5,9,2020
1347,5,9,2020
408,5,9,2020
7809,13,9,2024
7735,13,9,2024
4116,13,9,2024
3570,5,9,2020
6833,13,9,2024
4390,13,9,2024
327,5,9,2020
5722,13,9,2024
1426,5,9,2020
4585,13,9,2024
1359,5,9,2020
1252,5,9,2020
6315,13,9,2024
3321,5,9,2020
2504,5,9,2020
322,5,9,2020
2041,5,9,2020
6873,13,9,2024
582,5,9,2020
5993,13,9,2024
5443,13,9,2024
5933,13,9,2024
2883,5,9,2020
3635,5,9,2020
7443,13,9,2024
6923,13,9,2024
4715,13,9,2024
978,5,9,2020
3419,5,9,2020
2185,5,9,2020
3895,5,9,2020
4296,13,9,2024
4641,13,9,2024
6001,13,9,2024
3024,5,9,2020
250,5,9,2020
2738,5,9,2020
741,5,9,2020
1681,5,9,2020
195,5,9,2020
7778,13,9,2024
4097,13,9,2024
4108,13,9,2024
141,5,9,2020
1875,5,9,2020
281,5,9,2020
1286,5,9,2020
486,5,9,2020
3244,5,9,2020
296,5,9,2020
586,5,9,2020
4545,13,9,2024
2034,5,9,2020
947,5,9,2020
7737,13,9,2024
5188,13,9,2024
6744,13,9,2024
3717,5,9,2020
4365,13,9,2024
3432,5,9,2020
4311,13,9,2024
4025,13,9,2024
2812,5,9,2020
265,5,9,2020
4212,13,9,2024
4783,13,9,2024
6826,13,9,2024
6024,13,9,2024
4777,13,9,2024
782,5,9,2020
6153,13,9,2024
3353,5,9,2020
2425,5,9,2020
4460,13,9,2024
2336,5,9,2020
7342,13,9,2024
3714,5,9,2020
3270,5,9,2020
7643,13,9,2024
890,5,9,2020
1404,5,9,2020
5429,13,9,2024
7124,13,9,2024
3092,5,9,2020
2949,5,9,2020
5159,13,9,2024
1955,5,9,2020
5907,13,9,2024
993,5,9,2020
14,5,9,2020
1221,5,9,2020
1421,5,9,2020
3220,5,9,2020
2881,5,9,2020
6173,13,9,2024
3138,5,9,2020
2847,5,9,2020
2777,5,9,2020
2095,5,9,2020
1096,5,9,2020
837,5,9,2020
182,5,9,2020
3420,5,9,2020
5162,13,9,2024
2103,5,9,2020
6530,13,9,2024
5279,13,9,2024
2734,5,9,2020
5366,13,9,2024
4334,13,9,2024
1693,5,9,2020
960,5,9,2020
1532,5,9,2020
7280,13,9,2024
2352,5,9,2020
3756,5,9,2020
4733,13,9,2024
7307,13,9,2024
6559,13,9,2024
4957,13,9,2024
5876,13,9,2024
4096,13,9,2024
6670,13,9,2024
3768,5,9,2020
6777,13,9,2024
2629,5,9,2020
3311,5,9,2020
5192,13,9,2024
5122,13,9,2024
3238,5,9,2020
2163,5,9,2020
5902,13,9,2024
7547,13,9,2024
6998,13,9,2024
6943,13,9,2024
5325,13,9,2024
7678,13,9,2024
6769,13,9,2024
3077,5,9,2020
2511,5,9,2020
2479,5,9,2020
3162,5,9,2020
2823,5,9,2020
4262,13,9,2024
7377,13,9,2024
5202,13,9,2024
456,5,9,2020
1431,5,9,2020
7042,13,9,2024
5044,13,9,2024
5316,13,9,2024
3011,5,9,2020
5307,13,9,2024
6707,13,9,2024
1390,5,9,2020
7173,13,9,2024
4792,13,9,2024
4542,13,9,2024
4053,13,9,2024
5707,13,9,2024
2195,5,9,2020
4011,13,9,2024
356,5,9,2020
7550,13,9,2024
530,5,9,2020
7578,13,9,2024
1934,5,9,2020
1203,5,9,2020
6460,13,9,2024
4064,13,9,2024
1690,5,9,2020
7732,13,9,2024
7329,13,9,2024
2837,5,9,2020
720,5,9,2020
5483,13,9,2024
3806,5,9,2020
2790,5,9,2020
696,5,9,2020
448,5,9,2020
4791,13,9,2024
3817,5,9,2020
7274,13,9,2024
2527,5,9,2020
3098,5,9,2020
3716,5,9,2020
5880,13,9,2024
878,5,9,2020
3764,5,9,2020
4291,13,9,2024
4551,13,9,2024
2268,5,9,2020
3678,5,9,2020
3790,5,9,2020
2215,5,9,2020
6766,13,9,2024
4651,13,9,2024
3528,5,9,2020
7666,13,9,2024
649,5,9,2020
2648,5,9,2020
2744,5,9,2020
5306,13,9,2024
1084,5,9,2020
7657,13,9,2024
6151,13,9,2024
1658,5,9,2020
3760,5,9,2020
4020,13,9,2024
2371,5,9,2020
4018,13,9,2024
2684,5,9,2020
7626,13,9,2024
6922,13,9,2024
7201,13,9,2024
825,5,9,2020
5954,13,9,2024
5924,13,9,2024
4816,13,9,2024
7587,13,9,2024
6283,13,9,2024
4523,13,9,2024
709,5,9,2020
5493,13,9,2024
6373,13,9,2024
2822,5,9,2020
7070,13,9,2024
1403,5,9,2020
452,5,9,2020
1348,5,9,2020
6841,13,9,2024
1436,5,9,2020
1064,5,9,2020
5633,13,9,2024
5905,13,9,2024
861,5,9,2020
925,5,9,2020
2553,5,9,2020
1850,5,9,2020
1241,5,9,2020
635,5,9,2020
5196,13,9,2024
1872,5,9,2020
5623,13,9,2024
7753,13,9,2024
3654,5,9,2020
4649,13,9,2024
3789,5,9,2020
137,5,9,2020
5575,13,9,2024
1217,5,9,2020
5077,13,9,2024
2631,5,9,2020
7665,13,9,2024
6015,13,9,2024
4559,13,9,2024
1492,5,9,2020
1719,5,9,2020
2588,5,9,2020
522,5,9,2020
7649,13,9,2024
1271,5,9,2020
3953,13,9,2024
1998,5,9,2020
6382,13,9,2024
5383,13,9,2024
2921,5,9,2020
7183,13,9,2024
2753,5,9,2020
1031,5,9,2020
5711,13,9,2024
2180,5,9,2020
1616,5,9,2020
3479,5,9,2020
753,5,9,2020
2825,5,9,2020
862,5,9,2020
3801,5,9,2020
3269,5,9,2020
298,5,9,2020
2120,5,9,2020
7470,13,9,2024
4558,13,9,2024
5797,13,9,2024
3506,5,9,2020
1619,5,9,2020
6631,13,9,2024
1279,5,9,2020
4937,13,9,2024
74,5,9,2020
7284,13,9,2024
7568,13,9,2024
4557,13,9,2024
2297,5,9,2020
4654,13,9,2024
3375,5,9,2020
6108,13,9,2024
1671,5,9,2020
3588,5,9,2020
6956,13,9,2024
5318,13,9,2024
733,5,9,2020
868,5,9,2020
189,5,9,2020
4642,13,9,2024
4693,13,9,2024
2851,5,9,2020
3511,5,9,2020
3671,5,9,2020
4143,13,9,2024
5762,13,9,2024
6326,13,9,2024
6914,13,9,2024
3698,5,9,2020
6607,13,9,2024
5230,13,9,2024
5226,13,9,2024
1128,5,9,2020
5076,13,9,2024
2868,5,9,2020
5013,13,9,2024
6328,13,9,2024
7334,13,9,2024
4517,13,9,2024
4587,13,9,2024
7465,13,9,2024
4583,13,9,2024
6297,13,9,2024
1088,5,9,2020
6845,13,9,2024
4811,13,9,2024
5900,13,9,2024
3454,5,9,2020
1848,5,9,2020
464,5,9,2020
3410,5,9,2020
6076,13,9,2024
566,5,9,2020
5858,13,9,2024
6583,13,9,2024
6263,13,9,2024
4734,13,9,2024
4620,13,9,2024
637,5,9,2020
7057,13,9,2024
5072,13,9,2024
1925,5,9,2020
5814,13,9,2024
707,5,9,2020
6405,13,9,2024
7370,13,9,2024
602,5,9,2020
3593,5,9,2020
3595,5,9,2020
2110,5,9,2020
7796,13,9,2024
975,5,9,2020
5461,13,9,2024
313,5,9,2020
1851,5,9,2020
4879,13,9,2024
2167,5,9,2020
1373,5,9,2020
1406,5,9,2020
7286,13,9,2024
3391,5,9,2020
787,5,9,2020
6666,13,9,2024
1689,5,9,2020
