rowid,product_id,customer_id,price,total_price
208,8024,70243,4506,4506
209,8494,16497,1342,5368
210,6004,76174,2190,6570
211,7755,56752,226,1130
212,5963,240,1205,3615
213,8589,88433,631,2524
214,7347,27837,314,314
215,6505,72604,1305,2610
216,8642,6162,984,3936
217,6554,58145,1889,9445
218,8034,86122,4335,13005
219,6622,2507,3803,3803
220,8302,33713,1229,4916
221,8036,78166,4206,12618
222,7516,7978,1937,1937
223,7009,70536,4850,14550
224,8932,2487,4842,14526
225,8882,85701,2126,6378
226,8943,11017,4946,4946
227,7073,2324,1763,8815
228,8370,68498,2061,2061
229,8587,59617,145,435
230,8888,21645,4433,17732
231,6774,27272,4844,14532
232,8906,50664,2709,10836
233,7266,76670,370,370
234,7317,14764,4048,20240
235,8414,84880,3262,3262
236,7873,89838,3820,11460
237,8773,55496,2289,4578
238,5883,17993,113,452
239,5820,85882,510,1020
240,5681,8428,1062,2124
241,8215,21205,2819,11276
242,5956,7565,2731,10924
243,8905,54998,1045,3135
244,6647,43976,3909,3909
245,8088,79350,3984,11952
246,5932,37240,2691,13455
247,5714,46464,1845,9225
248,5943,17587,951,1902
249,8924,75079,2221,6663
250,7577,43176,3137,6274
251,7228,757,3375,13500
252,7321,86017,4010,4010
253,6503,30851,4635,23175
254,6267,49438,2748,2748
255,8116,57717,424,848
256,8837,35078,2701,2701
257,8238,81136,648,1944
258,8624,35149,3573,17865
259,7071,77941,1727,1727
260,5978,3300,2718,10872
261,7840,75274,3143,3143
262,6058,41057,57,57
263,7761,48008,4701,14103
264,8476,53238,4538,18152
265,6127,33807,4621,9242
266,8512,86294,3430,13720
267,6057,79754,2503,12515
268,6903,84329,1002,3006
269,8024,79194,4506,4506
270,6591,15949,709,709
271,6302,64772,1717,3434
272,7306,58197,86,172
273,8284,59602,4455,13365
274,5932,50839,2691,13455
275,8782,7027,695,695
276,7196,63944,4862,9724
277,8796,14373,528,1584
278,7857,26657,367,1468
279,7165,36285,3318,3318
280,5932,16487,2691,8073
281,7713,43921,2808,8424
282,5725,86592,1304,3912
283,6963,63818,3423,10269
284,8064,42492,58,58
285,5868,38563,3927,11781
286,6561,60895,2583,10332
287,8053,82366,353,1765
288,7928,45119,3451,17255
289,7351,73012,565,565
290,7590,73578,3841,19205
291,8556,61871,1665,8325
292,8467,32873,4853,14559
293,7351,73012,565,565
294,7590,73578,3841,19205
295,8556,61871,1665,8325
296,8467,32873,4853,14559
297,8414,84880,3262,3262
298,7317,14764,4048,20240
299,7266,76670,370,370
300,7928,45119,3451,17255
301,8053,82366,353,1765
302,6561,60895,2583,10332
303,5868,38563,3927,11781
304,8064,42492,58,58
305,6963,63818,3423,10269
306,5725,86592,1304,3912
307,7713,43921,2808,8424
308,5932,16487,2691,8073
309,7165,36285,3318,3318
310,7857,26657,367,1468
311,8796,14373,528,1584
312,7196,63944,4862,9724
313,8782,7027,695,695
314,5932,50839,2691,13455
315,8284,59602,4455,13365
316,7306,58197,86,172
317,6302,64772,1717,3434
318,6591,15949,709,709
319,8024,79194,4506,4506
320,6903,84329,1002,3006
321,6057,79754,2503,12515
322,8512,86294,3430,13720
323,6127,33807,4621,9242
324,8476,53238,4538,18152
325,7761,48008,4701,14103
326,6058,41057,57,57
327,7840,75274,3143,3143
328,5978,3300,2718,10872
329,7071,77941,1727,1727
330,8624,35149,3573,17865
331,8238,81136,648,1944
332,8837,35078,2701,2701
333,8116,57717,424,848
334,6267,49438,2748,2748
335,6503,30851,4635,23175
336,7321,86017,4010,4010
337,7228,757,3375,13500
338,7577,43176,3137,6274
339,8924,75079,2221,6663
340,5943,17587,951,1902
341,5714,46464,1845,9225
342,5932,37240,2691,13455
343,8088,79350,3984,11952
344,6647,43976,3909,3909
345,8905,54998,1045,3135
346,5956,7565,2731,10924
347,8215,21205,2819,11276
348,5681,8428,1062,2124
349,5820,85882,510,1020
350,5883,17993,113,452
351,8773,55496,2289,4578
352,7873,89838,3820,11460
353,7344,83368,3945,3945
354,6245,83716,527,2635
355,7765,75574,100,300
356,7864,29332,1471,5884
357,8844,439,3496,3496
358,8698,24926,90,360
359,7980,39264,88,176
360,6243,16839,4033,12099
361,7994,31023,2176,10880
362,6259,30488,4028,12084
363,7977,5945,4157,20785
364,7241,12238,993,3972
365,6707,68476,4743,9486
366,6646,10875,2428,7284
367,6570,49822,446,2230
368,6090,32918,1292,1292
369,7761,59624,4701,14103
370,6829,12657,2230,2230
371,6756,89175,1240,3720
372,5725,63251,1304,5216
373,8307,34786,2630,2630
374,5787,11617,3832,15328
375,5643,17490,1619,4857
376,8567,29429,1313,3939
377,8301,42080,1594,6376
378,8129,31307,3468,17340
379,7141,18007,1787,1787
380,5982,59099,2838,5676
381,7317,21202,4048,12144
382,6589,57788,529,2116
383,7972,41273,2769,2769
384,8531,69299,1377,2754
385,8969,16994,4612,18448
386,7520,88385,4711,23555
387,7344,83368,3945,3945
388,7496,43629,2331,2331
389,7850,36530,164,328
390,8158,36462,2310,4620
391,7612,13379,239,239
392,7098,52526,3803,15212
393,8424,12659,2781,8343
394,6087,3149,2008,8032
395,6732,34099,4706,23530
396,6287,67651,2693,13465
397,8644,69733,1345,1345
398,7185,11094,3121,6242
399,7976,87891,3490,3490
400,5706,41367,317,1268
401,7543,68455,2012,10060
402,6323,87644,3461,3461
403,7687,78919,2285,11425
404,8404,20151,398,1592
405,8810,87066,2152,8608
406,6709,48897,702,2106
407,6257,39416,3964,7928
408,8539,27725,2420,2420
409,5943,47130,951,4755
410,8752,5352,3536,10608
411,8983,19155,3334,3334
412,6387,85901,3408,13632
413,7330,70720,4960,14880
414,7330,70720,4960,14880
415,6387,85901,3408,13632
416,8983,19155,3334,3334
417,8752,5352,3536,10608
418,5943,47130,951,4755
419,8539,27725,2420,2420
420,6257,39416,3964,7928
421,6709,48897,702,2106
422,8810,87066,2152,8608
423,8404,20151,398,1592
424,7687,78919,2285,11425
425,6323,87644,3461,3461
426,7543,68455,2012,10060
427,5706,41367,317,1268
428,7976,87891,3490,3490
429,7185,11094,3121,6242
430,8644,69733,1345,1345
431,6287,67651,2693,13465
432,6732,34099,4706,23530
433,6087,3149,2008,8032
434,8424,12659,2781,8343
435,7098,52526,3803,15212
436,7612,13379,239,239
437,8158,36462,2310,4620
438,7850,36530,164,328
439,7496,43629,2331,2331
440,7520,88385,4711,23555
441,8969,16994,4612,18448
442,8531,69299,1377,2754
443,7972,41273,2769,2769
444,6589,57788,529,2116
445,7317,21202,4048,12144
446,5982,59099,2838,5676
447,7141,18007,1787,1787
448,8129,31307,3468,17340
449,8301,42080,1594,6376
450,8567,29429,1313,3939
451,5643,17490,1619,4857
452,5787,11617,3832,15328
453,8307,34786,2630,2630
454,5725,63251,1304,5216
455,6756,89175,1240,3720
456,6829,12657,2230,2230
457,7761,59624,4701,14103
458,6090,32918,1292,1292
459,6570,49822,446,2230
460,6646,10875,2428,7284
461,6707,68476,4743,9486
462,7241,12238,993,3972
463,7977,5945,4157,20785
464,6259,30488,4028,12084
465,7994,31023,2176,10880
466,6243,16839,4033,12099
467,7980,39264,88,176
468,8698,24926,90,360
469,8844,439,3496,3496
470,7864,29332,1471,5884
471,7765,75574,100,300
472,6245,83716,527,2635
473,6969,4865,1047,5235
474,6746,37861,205,205
475,6333,1990,1782,3564
476,7832,76307,3238,12952
477,5958,41429,2683,13415
478,6338,34533,1952,9760
479,7832,76307,3238,12952
480,6333,1990,1782,3564
481,6746,37861,205,205
482,6969,4865,1047,5235
483,8558,11434,1760,3520
484,7100,87522,2084,10420
485,8025,65827,4688,9376
486,6058,10497,57,114
487,8417,64015,1882,7528
488,8658,25899,3101,6202
489,8058,18389,1164,2328
490,7738,44078,3799,3799
491,6050,11751,4182,16728
492,8422,75237,4346,13038
493,8995,42722,4320,21600
494,8072,56637,1877,9385
495,8671,85300,4108,20540
496,6856,14092,125,250
497,8749,79656,4418,8836
498,5911,17578,4555,13665
499,8168,63524,4789,19156
500,8427,62399,1088,4352
501,6292,46219,4698,18792
502,5857,23099,1795,7180
503,8199,82871,4634,13902
504,5926,19166,1184,4736
505,8216,80706,621,2484
506,8106,10227,769,3076
507,8263,5488,935,2805
508,5784,59188,3415,17075
509,8911,7633,4021,8042
510,7857,15914,367,1101
511,7153,72556,2136,4272
512,7160,63748,2596,7788
513,6569,77179,2718,8154
514,8453,28314,140,700
515,7891,15090,4654,13962
516,8884,1563,2267,9068
517,5937,16614,4161,16644
518,6247,1020,1536,1536
519,5869,2255,3180,6360
520,8765,73197,4348,4348
521,7158,32537,2557,2557
522,7619,53728,3579,7158
523,7030,87344,2933,11732
524,8832,1411,4837,4837
525,8885,3952,2901,14505
526,6556,81053,2044,10220
527,5611,60205,1544,6176
528,8326,17783,925,1850
529,7355,77610,1958,9790
530,6712,62814,1617,1617
531,7177,40828,4331,17324
532,6946,41910,1061,3183
533,6595,72740,3443,13772
534,8195,37876,1374,1374
535,8950,61667,897,3588
536,7658,59521,4488,4488
537,5958,41429,2683,13415
538,7658,59521,4488,4488
539,8950,61667,897,3588
540,8195,37876,1374,1374
541,6595,72740,3443,13772
542,6946,41910,1061,3183
543,7177,40828,4331,17324
544,6712,62814,1617,1617
545,7355,77610,1958,9790
546,8326,17783,925,1850
547,5611,60205,1544,6176
548,6556,81053,2044,10220
549,8885,3952,2901,14505
550,8832,1411,4837,4837
551,7030,87344,2933,11732
552,7619,53728,3579,7158
553,7158,32537,2557,2557
554,8765,73197,4348,4348
555,5869,2255,3180,6360
556,6247,1020,1536,1536
557,5937,16614,4161,16644
558,8884,1563,2267,9068
559,7891,15090,4654,13962
560,8453,28314,140,700
561,6569,77179,2718,8154
562,7160,63748,2596,7788
563,7153,72556,2136,4272
564,7857,15914,367,1101
565,8911,7633,4021,8042
566,5784,59188,3415,17075
567,8263,5488,935,2805
568,8106,10227,769,3076
569,8216,80706,621,2484
570,6338,34533,1952,9760
571,5926,19166,1184,4736
572,8199,82871,4634,13902
573,5857,23099,1795,7180
574,6292,46219,4698,18792
575,8427,62399,1088,4352
576,8168,63524,4789,19156
577,5911,17578,4555,13665
578,8749,79656,4418,8836
579,6856,14092,125,250
580,8671,85300,4108,20540
581,8072,56637,1877,9385
582,8995,42722,4320,21600
583,8422,75237,4346,13038
584,6050,11751,4182,16728
585,7738,44078,3799,3799
586,8058,18389,1164,2328
587,8658,25899,3101,6202
588,8417,64015,1882,7528
589,6058,10497,57,114
590,8025,65827,4688,9376
591,7100,87522,2084,10420
592,8558,11434,1760,3520
593,8427,62433,1088,1088
594,6352,5931,738,2214
595,8863,28253,546,1092
596,6124,15182,4801,24005
597,7343,81281,4338,13014
598,7980,3090,88,352
599,8700,37269,410,1640
600,6929,17205,727,2908
601,5766,76643,1585,7925
602,8841,85198,4660,18640
603,8760,37386,2356,4712
604,6404,11967,322,1288
605,6080,20725,3004,9012
606,8897,81146,653,653
607,7683,74294,4121,20605
608,7853,82510,2015,6045
609,7895,12586,3550,3550
610,6189,74309,1118,2236
611,7854,84068,3137,3137
612,6514,87094,4743,9486
613,6821,56074,357,1428
614,7584,52372,1453,2906
615,6151,58001,556,1668
616,6830,48895,1235,4940
617,6051,30551,2909,5818
618,7476,7970,3873,11619
619,5949,29550,2516,2516
620,9000,51687,624,3120
621,6402,12004,690,3450
622,8826,11678,2690,10760
623,6897,43729,4787,19148
624,8467,69029,4853,4853
625,8817,12113,1233,1233
626,6172,31435,174,696
627,7818,25282,1496,1496
628,7911,63885,2314,4628
629,8453,8632,140,420
630,6752,84332,643,643
631,7612,1756,239,717
632,6752,74280,643,3215
633,7986,10278,110,110
634,7229,38264,4458,22290
635,8453,47631,140,280
636,6700,82929,2292,11460
637,8583,6701,4658,23290
638,6052,21595,2984,8952
639,7543,39428,2012,4024
640,7976,78366,3490,6980
641,7453,4839,3327,16635
642,7356,42884,720,3600
643,6169,3903,4232,8464
644,5816,52186,469,938
645,7994,23848,2176,6528
646,6019,24643,1419,4257
647,7959,55786,4594,18376
648,7304,39024,1861,3722
649,8863,50553,546,1092
650,7022,29477,2432,4864
651,5602,85502,215,645
652,8749,76608,4418,13254
653,8427,62433,1088,1088
654,6352,5931,738,2214
655,8863,28253,546,1092
656,6124,15182,4801,24005
657,7343,81281,4338,13014
658,6929,17205,727,2908
659,8700,37269,410,1640
660,7980,3090,88,352
661,5766,76643,1585,7925
662,8841,85198,4660,18640
663,8760,37386,2356,4712
664,6404,11967,322,1288
665,6080,20725,3004,9012
666,8897,81146,653,653
667,7683,74294,4121,20605
668,7853,82510,2015,6045
669,7895,12586,3550,3550
670,6189,74309,1118,2236
671,7854,84068,3137,3137
672,6514,87094,4743,9486
673,6821,56074,357,1428
674,7584,52372,1453,2906
675,6151,58001,556,1668
676,6830,48895,1235,4940
677,6051,30551,2909,5818
678,7476,7970,3873,11619
679,5949,29550,2516,2516
680,9000,51687,624,3120
681,6402,12004,690,3450
682,8826,11678,2690,10760
683,6897,43729,4787,19148
684,8467,69029,4853,4853
685,8817,12113,1233,1233
686,6172,31435,174,696
687,7818,25282,1496,1496
688,7911,63885,2314,4628
689,8453,8632,140,420
690,6752,84332,643,643
691,7612,1756,239,717
692,6752,74280,643,3215
693,7986,10278,110,110
694,7229,38264,4458,22290
695,8453,47631,140,280
696,6700,82929,2292,11460
697,8583,6701,4658,23290
698,6052,21595,2984,8952
699,7543,39428,2012,4024
700,7976,78366,3490,6980
701,7453,4839,3327,16635
702,7356,42884,720,3600
703,6169,3903,4232,8464
704,5816,52186,469,938
705,7994,23848,2176,6528
706,6019,24643,1419,4257
707,7959,55786,4594,18376
708,7304,39024,1861,3722
709,8863,50553,546,1092
710,7022,29477,2432,4864
711,5602,85502,215,645
712,8749,76608,4418,13254
713,5930,48151,438,438
714,6652,16310,58,116
715,7906,65336,1951,1951
716,6352,44946,738,738
717,6614,39874,4756,19024
718,5930,48151,438,438
719,6259,25455,4028,12084
720,5815,9498,4177,4177
721,7344,59259,3945,7890
722,6903,36098,1002,5010
723,6315,37165,4825,9650
724,8076,53150,3401,13604
725,7764,33165,3278,9834
726,6177,22044,1424,5696
727,6088,35300,3946,19730
728,8537,88754,2601,13005
729,6202,75424,4409,8818
730,7591,89515,3770,11310
731,6933,83483,3200,3200
732,8449,84143,4885,4885
733,7267,80484,3868,19340
734,6634,42430,1256,1256
735,6601,8284,4661,23305
736,6486,23259,434,868
737,8658,61886,3101,9303
738,6753,16385,558,2790
739,8230,32505,325,975
740,8076,19925,3401,17005
741,8139,22381,1250,5000
742,5921,16981,2576,12880
743,6227,45070,4963,24815
744,8499,59395,3386,10158
745,6127,30023,4621,13863
746,5888,981,3797,3797
747,8300,1111,4712,9424
748,7088,46940,4432,4432
749,8071,35222,3861,7722
750,7925,10129,808,3232
751,8276,56819,4561,9122
752,8903,89310,2430,2430
753,8235,89180,2369,4738
754,8296,62320,3343,13372
755,6749,42932,1544,1544
756,6892,48209,2095,10475
757,8404,33492,398,398
758,5888,18791,3797,3797
759,7036,27203,3349,16745
760,7674,38447,3807,11421
761,5888,77407,3797,15188
762,6247,54180,1536,3072
763,7354,26732,3817,19085
764,6969,23592,1047,1047
765,5794,61193,314,628
766,7764,81050,3278,16390
767,5831,73961,4728,18912
768,6956,202,994,3976
769,8632,34465,3300,13200
770,6905,72988,1335,6675
771,6944,46177,741,2223
772,7238,14812,1678,3356
773,7524,23732,3627,14508
774,6352,44946,738,738
775,7906,65336,1951,1951
776,6614,39874,4756,19024
777,6652,16310,58,116
778,7524,23732,3627,14508
779,7238,14812,1678,3356
780,6944,46177,741,2223
781,6905,72988,1335,6675
782,8632,34465,3300,13200
783,6956,202,994,3976
784,5831,73961,4728,18912
785,7764,81050,3278,16390
786,5794,61193,314,628
787,6969,23592,1047,1047
788,7354,26732,3817,19085
789,6247,54180,1536,3072
790,5888,77407,3797,15188
791,7674,38447,3807,11421
792,7036,27203,3349,16745
793,5888,18791,3797,3797
794,8404,33492,398,398
795,6892,48209,2095,10475
796,6749,42932,1544,1544
797,8296,62320,3343,13372
798,8235,89180,2369,4738
799,8903,89310,2430,2430
800,8276,56819,4561,9122
801,7925,10129,808,3232
802,8071,35222,3861,7722
803,7088,46940,4432,4432
804,8300,1111,4712,9424
805,5888,981,3797,3797
806,6127,30023,4621,13863
807,8499,59395,3386,10158
808,6227,45070,4963,24815
809,5921,16981,2576,12880
810,8139,22381,1250,5000
811,8076,19925,3401,17005
812,8230,32505,325,975
813,6753,16385,558,2790
814,8658,61886,3101,9303
815,6486,23259,434,868
816,6601,8284,4661,23305
817,6634,42430,1256,1256
818,7267,80484,3868,19340
819,8449,84143,4885,4885
820,6933,83483,3200,3200
821,7591,89515,3770,11310
822,6202,75424,4409,8818
823,8537,88754,2601,13005
824,6088,35300,3946,19730
825,6177,22044,1424,5696
826,7764,33165,3278,9834
827,8076,53150,3401,13604
828,6315,37165,4825,9650
829,6903,36098,1002,5010
830,7344,59259,3945,7890
831,5815,9498,4177,4177
832,6259,25455,4028,12084
833,7168,49052,690,1380
834,5770,83343,80,240
835,8090,63255,680,680
836,6512,62094,2443,9772
837,6512,62094,2443,9772
838,8090,63255,680,680
839,5770,83343,80,240
840,8271,16591,1048,2096
841,8163,63441,326,978
842,6088,22654,3946,15784
843,7299,47815,2334,7002
844,7331,17759,1073,4292
845,5789,71222,1008,4032
846,8569,72399,1876,5628
847,7801,66526,594,594
848,6571,65749,4398,13194
849,7878,23326,3273,13092
850,7998,62809,635,2540
851,5969,6257,3957,11871
852,6738,82024,4884,4884
853,7758,26827,3953,15812
854,8023,70611,328,328
855,7186,52177,2691,13455
856,5818,26346,451,1353
857,7350,58890,2309,4618
858,6857,59201,2237,6711
859,5664,89640,3546,10638
860,6715,3847,1040,2080
861,7960,71960,321,321
862,6637,6077,3973,3973
863,6522,74914,358,716
864,8690,73646,748,3740
865,8712,73663,3036,3036
866,5636,83395,212,424
867,8145,20349,1143,2286
868,8008,48580,4407,17628
869,5614,29727,4722,14166
870,6725,58093,4797,4797
871,8240,60924,2072,4144
872,8266,10217,657,2628
873,6950,21677,3396,16980
874,7604,72911,1136,2272
875,5927,7534,897,4485
876,8107,2954,4168,16672
877,7520,46059,4711,4711
878,6540,86673,4921,14763
879,6940,47749,1889,1889
880,6456,7903,719,2876
881,7112,21271,3612,7224
882,7849,57458,2007,6021
883,6710,6622,905,2715
884,5840,72826,3338,6676
885,6239,56579,3993,19965
886,5857,41245,1795,8975
887,6301,81094,2446,7338
888,6736,37603,3065,12260
889,6784,76630,4430,17720
890,8769,13240,3913,11739
891,6643,14797,350,1750
892,6586,73909,3791,15164
893,8271,16591,1048,2096
894,5821,1055,1328,2656
895,7819,38855,2705,5410
896,8255,69242,2730,2730
897,8255,69242,2730,2730
898,7819,38855,2705,5410
899,5821,1055,1328,2656
900,7168,49052,690,1380
901,6586,73909,3791,15164
902,6643,14797,350,1750
903,8769,13240,3913,11739
904,6784,76630,4430,17720
905,6736,37603,3065,12260
906,6301,81094,2446,7338
907,5857,41245,1795,8975
908,6239,56579,3993,19965
909,5840,72826,3338,6676
910,6710,6622,905,2715
911,7849,57458,2007,6021
912,7112,21271,3612,7224
913,6456,7903,719,2876
914,6940,47749,1889,1889
915,6540,86673,4921,14763
916,7520,46059,4711,4711
917,8107,2954,4168,16672
918,5927,7534,897,4485
919,7604,72911,1136,2272
920,6950,21677,3396,16980
921,8266,10217,657,2628
922,8240,60924,2072,4144
923,6725,58093,4797,4797
924,5614,29727,4722,14166
925,8008,48580,4407,17628
926,8145,20349,1143,2286
927,5636,83395,212,424
928,8712,73663,3036,3036
929,8690,73646,748,3740
930,6522,74914,358,716
931,6637,6077,3973,3973
932,7960,71960,321,321
933,6715,3847,1040,2080
934,5664,89640,3546,10638
935,6857,59201,2237,6711
936,7350,58890,2309,4618
937,5818,26346,451,1353
938,7186,52177,2691,13455
939,8023,70611,328,328
940,7758,26827,3953,15812
941,6738,82024,4884,4884
942,5969,6257,3957,11871
943,7998,62809,635,2540
944,7878,23326,3273,13092
945,6571,65749,4398,13194
946,7801,66526,594,594
947,8569,72399,1876,5628
948,5789,71222,1008,4032
949,7331,17759,1073,4292
950,7299,47815,2334,7002
951,6088,22654,3946,15784
952,8163,63441,326,978
953,8453,68386,140,140
954,7750,18506,2051,4102
955,6850,53924,716,2148
956,7539,15370,3459,17295
957,7750,18506,2051,4102
958,7539,15370,3459,17295
959,6850,53924,716,2148
960,8453,68386,140,140
961,7597,24985,4263,8526
962,6668,83308,2037,4074
963,6759,34181,1350,4050
964,5956,24557,2731,10924
965,7428,8488,2997,2997
966,6339,81887,1888,9440
967,5815,38606,4177,8354
968,8022,49139,3825,15300
969,5946,84321,4259,21295
970,7541,31176,197,394
971,8398,74259,4200,16800
972,6357,64935,2732,10928
973,8502,6366,264,1056
974,8066,63613,3537,14148
975,7160,32407,2596,5192
976,8631,83824,1717,1717
977,8661,30192,2317,6951
978,5745,41031,2493,2493
979,6660,68373,805,2415
980,6433,68512,3234,12936
981,8393,19761,4278,21390
982,6564,43018,3089,3089
983,7641,54682,3189,6378
984,8541,38082,1527,4581
985,6440,54482,3674,11022
986,6034,87170,2365,11825
987,5619,65052,143,572
988,8008,79916,4407,4407
989,5605,77629,2505,10020
990,6329,89435,4682,14046
991,7139,83311,936,3744
992,7695,1171,4340,21700
993,8787,76999,1321,5284
994,6882,28623,2740,10960
995,7761,78350,4701,18804
996,7298,34328,1921,5763
997,7035,20686,1223,2446
998,8931,61098,4512,9024
999,5643,69067,1619,4857
1000,8846,53840,2863,11452
1001,7439,6025,2279,4558
1002,7142,4767,147,441
1003,6646,74452,2428,9712
1004,5882,51888,3143,6286
1005,8342,64929,700,700
1006,8567,40582,1313,3939
1007,8160,4243,2075,2075
1008,8828,74923,3697,7394
1009,7922,44956,3770,3770
1010,7363,57675,4781,19124
1011,7672,49413,786,2358
1012,8177,18335,3101,9303
1013,7790,44756,3537,17685
1014,8841,38586,4660,4660
1015,8176,76280,4544,22720
1016,5899,76319,4216,21080
1017,5899,76319,4216,21080
1018,8176,76280,4544,22720
1019,8841,38586,4660,4660
1020,7790,44756,3537,17685
